outer_target_code	source_regime_id	source_mic_supervision_status	model_kind	support_budget_percent	query_id	held_out_antibiotic	seed_count	observations_mean_across_seeds	rmse_mean_across_seeds	rmse_sd_across_seeds	mae_mean_across_seeds	mae_sd_across_seeds	r2_mean_across_seeds	r2_sd_across_seeds	pearson_mean_across_seeds	pearson_sd_across_seeds	spearman_mean_across_seeds	spearman_sd_across_seeds	one_tier_accuracy_mean_across_seeds	one_tier_accuracy_sd_across_seeds
kp	se_to_kp	source_unseen	source_pretrained_few_shot	1	drug_held_out__tobramycin	tobramycin	3	3035.0	1.914262440710069	0.21315283202820712	1.639811535178797	0.19802058738013648	-0.2751561021430597	0.2796242649322321	0.3956861755021382	0.01625711803040921	0.38766660081692145	0.006454340994943078	0.31224601867105983	0.03119957978338088
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__amikacin	amikacin	3	3816.0	1.8347512822232002	0.03440234497066425	1.4385216213335823	0.031983825208105894	-0.06579274359334064	0.04004926305924126	0.34165658894300516	0.030952209559549783	0.386498463905749	0.037592628875027394	0.4040880503144653	0.008766105180124642
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__aztreonam	aztreonam	3	3291.0	1.6118824442583854	0.06518639457082173	1.198080361410138	0.15568090906755772	0.19202635336470122	0.06603372514053743	0.507084667076552	0.012759422566874996	0.411242885145847	0.06695313566027586	0.5538336878355109	0.1002183643365317
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__cefepime	cefepime	3	3458.0	3.033701105082482	0.1939546131813246	2.413353914253849	0.22186251484992514	-1.0506398334591662	0.262606197859333	0.3915881029830171	0.00581889538910063	0.25005963466756187	0.028325861355501216	0.2236360131096973	0.04944322064529174
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__cefmetazole	cefmetazole	3	794.0	3.189852056987943	0.08918729881155096	2.8964646275457864	0.0727266094665141	-0.33402060748279966	0.07397399875293607	0.11855458478928364	0.03902861452409456	0.10892353351488483	0.05477146029295401	0.1020151133501259	0.005771505913042649
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__cefotaxime	cefotaxime	3	2099.0	2.641289132915105	0.10495599257462014	2.095931114754034	0.1405947740677494	-0.0692104157810995	0.08411080168909187	0.47684933385090017	0.03795495179503472	0.2256509270802682	0.06829052207259916	0.2963315864697475	0.04726146474489483
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__cefuroxime	cefuroxime	3	3110.0	1.97450008929399	0.1709758034532005	1.6771698283995846	0.18859867790185578	-0.399557554850684	0.2465672425106657	0.37240312796270664	0.0039018804102921626	0.3642991193733763	0.016399816216795832	0.24887459807073953	0.0703812909907512
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__imipenem	imipenem	3	3423.0	2.6647255433916683	0.3519871319904002	2.2922518225472897	0.26223004784516296	-0.28952677377155067	0.3491350102080057	0.417744110239552	0.0753796931573519	0.4603479086555853	0.07690719636547796	0.21715843801733367	0.027274702112826676
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__levofloxacin	levofloxacin	3	2984.0	2.1373826704287864	0.06822510215091368	1.5297986677813677	0.09298018131494444	-0.2166481862406904	0.07752852396121933	0.7686298146232232	0.007401407204899889	0.7290004361564414	0.013917730062045774	0.504579982126899	0.05615279474669564
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__minocycline	minocycline	3	1237.0	1.6621647352764197	0.04216985158763629	1.3577218430924372	0.04810476445109263	-0.10940868468440877	0.05609357084809884	0.3514185905569042	0.03244037162600326	0.3643868209528697	0.0329379672947231	0.42279708973322555	0.027306945439053393
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__tigecycline	tigecycline	3	2001.0	3.626242266859968	0.06291824207297979	3.3322965098324957	0.05478832343762287	-9.28802224940746	0.3581846629216011	0.06904083680169797	0.00831352246719616	0.061156970843209334	0.00458300588000843	0.053473263368315836	0.003120938529934245
