outer_target_code	source_regime_id	model_kind	support_budget_percent	normalized_antibiotic	fold_count	observations_mean_across_folds	rmse_mean_across_folds	rmse_sd_across_folds	mae_mean_across_folds	mae_sd_across_folds	r2_mean_across_folds	r2_sd_across_folds	pearson_mean_across_folds	pearson_sd_across_folds	spearman_mean_across_folds	spearman_sd_across_folds	one_tier_accuracy_mean_across_folds	one_tier_accuracy_sd_across_folds
ec		target_only_scratch	10	cefoxitin	5	349.4	1.1549617495307927	0.05850727744366944	0.8813237103691172	0.03803770256741903	0.23627661725229182	0.06837423463940386	0.5544418832837813	0.04857029768952824	0.4262038874744724	0.05138585620803615	0.6531400256328623	0.02047234102151111
ec		target_only_scratch	10	ceftazidime	5	1197.2	2.0348245307391197	0.10762246383138045	1.399183893150841	0.025360735865216165	0.5263513043325097	0.027255051033495428	0.7345345736921034	0.01591434595261078	0.7700273756298199	0.010823875187552361	0.49715482361998486	0.022085504687890643
ec		target_only_scratch	10	ceftriaxone	5	644.0	2.1290270998414584	0.12163724954020182	1.3594415937506015	0.065277079015558	0.6288223799395709	0.04677272761416728	0.8099576934368728	0.025086343213496377	0.763292548212601	0.02086499397028196	0.5837474120082816	0.022684157087545488
ec		target_only_scratch	10	cefuroxime	5	808.6	1.4262549641783724	0.054444324526609994	1.0770202426405566	0.03348387930695373	0.26100525749607845	0.037970835393528385	0.5291356086379093	0.03671636669530083	0.46996524705489345	0.04133301068827152	0.5812634284762541	0.024788584926222382
ec		target_only_scratch	10	chloramphenicol	5	568.6	0.9728822644392064	0.026495391221695152	0.6274445513359723	0.02352114040692516	0.059375393165367565	0.06661956998097475	0.42026390360432886	0.020601304798782787	0.34305437094613517	0.03409430954982388	0.8127560913223923	0.013412219613458747
ec		target_only_scratch	10	ciprofloxacin	5	1293.4	2.4877824248202196	0.0713853267806123	1.583067534260797	0.03735650659404002	0.6039627059545404	0.015778140653960077	0.7850202713635439	0.010564839198833057	0.807540706718237	0.005213807876434926	0.5088908572414456	0.01595568694100831
ec		target_only_scratch	10	imipenem	5	843.8	1.2037834525591613	0.06627467577861297	0.8317853069951979	0.03653257324242847	0.2545332905097292	0.046239672719804566	0.5924311750098233	0.02197888281943252	0.5931942006321868	0.017561757325888733	0.715879588245546	0.023811979184397414
ec		target_only_scratch	10	levofloxacin	5	547.6	1.2259301033179661	0.10933154540089395	0.8408381152353479	0.0818784876113943	0.7217588850211264	0.04628394835824782	0.8540926721959554	0.02799637188738769	0.7602348833308359	0.019461128716747815	0.7291443885795379	0.037714765960564035
ec		target_only_scratch	10	meropenem	5	1076.0	1.7883306287366072	0.0263390317977654	1.302812651709147	0.03801665106869566	0.2786033970340279	0.028982292068038373	0.5567301383354588	0.019060134613035642	0.5272298838167206	0.04469058197961556	0.5524163568773234	0.031082077365453976
ec		target_only_scratch	10	minocycline	5	685.0	1.099559638849447	0.014789613782882693	0.7910005181089744	0.0164746952637644	0.2905005857216126	0.03142547740838196	0.5729410607051134	0.021026041380504425	0.4926925643046777	0.00851936103429839	0.7329377642427733	0.015157940067757199
ec		target_only_scratch	10	tetracycline	5	411.4	1.8934900641654422	0.1251617756728421	1.3796996511227382	0.1152389021991557	0.573153911447056	0.04311914594969047	0.7610100746080061	0.028959348589592083	0.7311924297532992	0.034938437426559214	0.5084969172985614	0.04838193949385947
