outer_target_code	source_regime_id	panel_id	replicate_count	pooled_rmse_mean	pooled_rmse_sd	pooled_mae_mean	pooled_mae_sd	pooled_r2_mean	pooled_r2_sd	pooled_pearson_mean	pooled_pearson_sd	pooled_spearman_mean	pooled_spearman_sd	pooled_one_tier_accuracy_mean	pooled_one_tier_accuracy_sd	macro_rmse_mean	macro_rmse_sd	macro_mae_mean	macro_mae_sd	macro_r2_mean	macro_r2_sd	macro_pearson_mean	macro_pearson_sd	macro_spearman_mean	macro_spearman_sd	macro_one_tier_accuracy_mean	macro_one_tier_accuracy_sd
kp	ec_to_kp	source_shared_drugs	3	2.3348333017198577	0.09345611267333713	1.7692392029066835	0.10999395188917545	0.2301958461609975	0.06103583342917739	0.6510136500989772	0.01249490283557047	0.65018727424319	0.0175416173035951	0.3834072247957216	0.04598818122771076	2.2263791009304317	0.07666753950071697	1.7379723189726544	0.09280531299971599	-0.3852244297980336	0.10405006118836584	0.3642399087477874	0.012731718695337256	0.3227932701583018	0.015521917656797444	0.383192270992516	0.03615941459462736
kp	ec_to_kp	source_unseen_in_mic_training	3																								
kp	se_plus_ec_to_kp	full_target_panel	3	2.5330749761398086	0.12495565178585809	1.8888362387889235	0.11069992506606757	0.09342250755817644	0.08802972629935904	0.6585950027247508	0.022883261048816973	0.6549915863144048	0.02568812587110234	0.3772241992882562	0.03914986027269405	2.358023545318863	0.08271736991781248	1.8274537484562927	0.08677419908066027	-0.5310675735525318	0.08997932968750276	0.3857303682855944	0.04773320340353568	0.32718078007224655	0.05423900473521221	0.3813653256680533	0.03207390476746996
kp	se_plus_ec_to_kp	source_shared_drugs	3	2.5330749761398086	0.12495565178585809	1.8888362387889235	0.11069992506606757	0.09342250755817644	0.08802972629935904	0.6585950027247508	0.022883261048816973	0.6549915863144048	0.02568812587110234	0.3772241992882562	0.03914986027269405	2.358023545318863	0.08271736991781248	1.8274537484562927	0.08677419908066027	-0.5310675735525318	0.08997932968750276	0.3857303682855944	0.04773320340353568	0.32718078007224655	0.05423900473521221	0.3813653256680533	0.03207390476746996
kp	se_plus_ec_to_kp	source_unseen_in_mic_training	3																								
kp	se_to_kp	full_target_panel	3	3.7098937272923584	0.22204509117129173	2.940846198508805	0.2554894944695149	-0.9460937009958399	0.23175108341353332	0.43294857958808647	0.02716465570241159	0.38775625086630366	0.02783746310123083	0.23211197041690687	0.04143267406548374	3.4627134094749685	0.19904466265489623	2.8771495194307626	0.22392813552597898	-2.6407871796739	0.40064896963220364	0.27250536681619547	0.03145936451729213	0.2452121875998329	0.03530237005074342	0.22504343668358803	0.036560437260629325
kp	se_to_kp	source_shared_drugs	3	3.963847012494258	0.1529277132571387	3.0366514384123753	0.16948966942629842	-0.9157267677274187	0.1478647893951547	0.5401641512965257	0.023752833652443493	0.5048256739854344	0.04150961024385188	0.2596867923930771	0.029436430955813005	3.4815032816282176	0.13463020168850245	2.8082774509054196	0.1644971370400966	-1.8287116672684254	0.22096517994095533	0.31610651389062944	0.04484216541564994	0.27533815384312255	0.05398860083725488	0.270473388567626	0.028033273620422718
kp	se_to_kp	source_unseen_in_mic_training	3	3.5147779991642345	0.28019718033272384	2.8718911894411754	0.3174238837746904	-0.9749298300037816	0.31146974110183745	0.32844327481215124	0.0330368546075391	0.3036102160760155	0.023698595952692445	0.2122652261123267	0.05012546803583588	3.4524643883004695	0.23418303888199546	2.914716102262768	0.25655828849629336	-3.083737459167796	0.49882705802336247	0.24872292295741327	0.024378893125551533	0.22877984237622043	0.026163937881228158	0.2002634629286583	0.041220754100439676
se	ec_to_se	full_target_panel	3	2.0867856755635033	0.017821029878117994	1.5820273828132276	0.034547549396670194	0.7153772772451212	0.004869656920211636	0.8857428713757449	0.0018506625819620073	0.8503778554559386	0.006228792223247989	0.3307511402991548	0.02055290983803472	2.059801072070563	0.027979265723111848	1.6356307218659794	0.029148128299927533	-1.9034771349288053	0.1864121846530739	0.5755899655121223	0.005153983370439432	0.39172757664605057	0.0010770261566984108	0.32464676528822095	0.017327452804767638
se	ec_to_se	source_shared_drugs	3	2.0867856755635033	0.017821029878117994	1.5820273828132276	0.034547549396670194	0.7153772772451212	0.004869656920211636	0.8857428713757449	0.0018506625819620073	0.8503778554559386	0.006228792223247989	0.3307511402991548	0.02055290983803472	2.059801072070563	0.027979265723111848	1.6356307218659794	0.029148128299927533	-1.9034771349288053	0.1864121846530739	0.5755899655121223	0.005153983370439432	0.39172757664605057	0.0010770261566984108	0.32464676528822095	0.017327452804767638
se	ec_to_se	source_unseen_in_mic_training	3																								
se	kp_plus_ec_to_se	full_target_panel	3	2.1192075965987924	0.010997065145818701	1.583005557973823	0.024432214184341328	0.7064733347512236	0.0030422412311224127	0.882568902271625	0.004698033619021619	0.8459553446082212	0.007073195951445982	0.3723983219133982	0.03207338228117849	2.085224678817138	0.038209657381344665	1.6302236276215158	0.03147855480247605	-2.2220738297935863	0.08982918593119611	0.5925189727116312	0.008956690954293519	0.40102628084858516	0.018926805823249137	0.3626351668421046	0.02511864761436979
se	kp_plus_ec_to_se	source_shared_drugs	3	2.1192075965987924	0.010997065145818701	1.583005557973823	0.024432214184341328	0.7064733347512236	0.0030422412311224127	0.882568902271625	0.004698033619021619	0.8459553446082212	0.007073195951445982	0.3723983219133982	0.03207338228117849	2.085224678817138	0.038209657381344665	1.6302236276215158	0.03147855480247605	-2.2220738297935863	0.08982918593119611	0.5925189727116312	0.008956690954293519	0.40102628084858516	0.018926805823249137	0.3626351668421046	0.02511864761436979
se	kp_plus_ec_to_se	source_unseen_in_mic_training	3																								
se	kp_to_se	full_target_panel	3	2.8608407713922404	0.04529219016604193	2.2681752067131207	0.058434020639779746	0.4650013376221171	0.017014481864003735	0.7487670148429958	0.015280200056676425	0.7604706217887288	0.014726500962973538	0.2685209659164074	0.02618208744639199	2.7099233378693968	0.041402367962509394	2.263201698224716	0.04272341208575576	-5.010304713369544	0.22582493915241753	0.5124357647668205	0.005118985778399868	0.352259394124317	0.016922209749252196	0.25985227240999337	0.02546006521255818
se	kp_to_se	source_shared_drugs	3	3.104961757608257	0.08597950076085799	2.505976128097816	0.09505829721058504	0.4427926130872111	0.030832462439589908	0.838211844131632	0.01779588195711097	0.839494589330463	0.01265862390978846	0.22876305509048867	0.013424798612585522	2.865861982549981	0.08331912422574043	2.4297840424407315	0.07817792116523078	-6.450354262903584	0.38426865135598676	0.5240719023405996	0.014275676628501	0.3715335284996031	0.01661514059596169	0.22951808839259677	0.030623500999785287
