outer_target_code	source_regime_id	normalized_antibiotic	replicate_count	rmse_mean	rmse_sd	mae_mean	mae_sd	r2_mean	r2_sd	pearson_mean	pearson_sd	spearman_mean	spearman_sd	one_tier_accuracy_mean	one_tier_accuracy_sd	observations
ec	kp_to_ec	cefoxitin	3	1.24323166877771	0.10148547971076968	0.9636914846529102	0.13510382498053666	0.11465443538632818	0.14729384272893742	0.47367287673331876	0.050043497548869255	0.31709988297527164	0.009207001099022399	0.6103796985308148	0.10263602763994238	1747
ec	kp_to_ec	ceftazidime	3	2.9345718497496307	0.12445728074493118	2.196266206695191	0.11098323980961897	0.014385299514443698	0.08324614447564364	0.6073100273683422	0.013105924795433313	0.6275257354136299	0.019020066870938313	0.3386791402160596	0.01682411496534856	5986
ec	kp_to_ec	ceftriaxone	3	2.4674447852031087	0.09980552685984212	1.5626471837546763	0.054662178521991595	0.5035855995944191	0.04004522861116317	0.7345090529845342	0.011149998270716732	0.6570294214743146	0.04956884213874773	0.6269151138716356	0.01750278525657316	3220
ec	kp_to_ec	cefuroxime	3	1.9514022751499696	0.10074608462896817	1.581851605541856	0.1275129427046755	-0.38365171418618865	0.14201934252782286	0.3279768255621339	0.020055142674316895	0.2532868522900286	0.013787914255521897	0.38255420892076836	0.06614759516173101	4043
ec	kp_to_ec	chloramphenicol	3	2.157131039245996	0.24118408961611953	1.7208490272782335	0.30586299076154366	-3.6272734777534805	0.9939722275758365	0.046135857016990495	0.03615251929820727	0.08908046938258113	0.02285006631133614	0.35174111853675694	0.12824087565342343	2843
ec	kp_to_ec	ciprofloxacin	3	2.912689608370806	0.07204432953155691	2.006475655751513	0.07970286332918543	0.4574502494814583	0.026697650110319545	0.7423556793680893	0.0015998786035895047	0.7479564709939441	0.005457107574147505	0.4285346116179578	0.01427835885041141	6467
ec	kp_to_ec	imipenem	3	1.5885321550199747	0.014954759209830758	1.180953796468207	0.03597765309544556	-0.2958533265485976	0.02433698376052661	0.37151626795223264	0.011444932017315676	0.35209223622469077	0.017237341340905748	0.5854467883384689	0.00941849560858286	4219
ec	kp_to_ec	levofloxacin	3	1.5713174863328883	0.14142854065166077	1.1436610279043775	0.1052931813326371	0.5433466401757537	0.08365678317333443	0.8124608159606712	0.02167074939601388	0.732346551005902	0.00526014312861327	0.5703676649622595	0.07463066873589534	2738
ec	kp_to_ec	meropenem	3	2.261933565345435	0.05183714411172049	1.7509732924503316	0.036937525048757386	-0.15303189316329455	0.05289466958134642	0.3403677286595082	0.006196971703700123	0.3231203314745836	0.006441681779033019	0.39083023543990086	0.04587062845942131	5380
ec	kp_to_ec	minocycline	3	1.8480383823263995	0.09141582589196276	1.652733768970137	0.1036455017989095	-1.0018664865671838	0.19600971928217215	0.5970408557675224	0.06107633106964919	0.5644548585422514	0.04759990127521187	0.23046228710462288	0.03928644093082101	3425
ec	kp_to_ec	tetracycline	3	2.0694071960512033	0.06413573376017605	1.6880554938370436	0.04292368900974263	0.4923861913234751	0.03130530630510023	0.7663825746966596	0.03545116803574879	0.705491814507586	0.0480475059541863	0.35553394911683683	0.074220062968108	2057
ec	kp_to_ec	tigecycline	3	2.0067631159847745	0.07424210220621838	1.8707299827019552	0.07283096487561515	-6.586619473571504	0.5668076796912176	0.16196708494293519	0.015313895585149373	0.19356098201274774	0.005563571759499482	0.13024459917871803	0.009522620574851119	3734
ec	kp_to_ec	tobramycin	3	1.2947689440321697	0.17158230401246002	1.0202590670822025	0.15388165702071346	0.25992622670505744	0.19133244539627192	0.614019204500989	0.06782165491795572	0.46112481583089976	0.03151785189309605	0.5839682013911891	0.059666539909626795	3019
ec	se_to_ec	amikacin	3	2.5342209776894324	0.14644317712468674	2.206104983499093	0.1945318797427221	-6.988259520766405	0.9355343703256271	0.1931142650386384	0.03777720356400198	0.1983781745320723	0.05175998159650449	0.2036775106082036	0.052497609263262024	4242
ec	se_to_ec	ampicillin	3	2.4341176553491928	0.16766736508882102	1.6342462872798518	0.16277901706107994	0.08826334580838213	0.12571113454678534	0.6241264607175849	0.011278376603643446	0.5509484736422033	0.022613393128334852	0.39902818270165213	0.024602913360578415	1715
ec	se_to_ec	aztreonam	3	2.8765208215838123	0.6777739837379941	2.385642543163712	0.6464416043698089	-1.1284659102180108	1.0330120541921048	0.5369603572841825	0.10975414792318533	0.557775071320465	0.05232204139565545	0.20740474478792234	0.09011539077998242	2782
ec	se_to_ec	cefepime	3	5.861508081975273	0.08962046581676737	5.4198939010004645	0.0669273319220136	-4.751255158077882	0.17563735578636225	0.41037566706954104	0.09727925167144567	0.43087905924833025	0.0813698575974622	0.014301430143014299	0.0011358952586859234	3333
ec	se_to_ec	cefmetazole	3	4.802129746963085	0.2543394609544687	4.209222139389027	0.3399478243905696	-4.342351158633076	0.5627337082737436	-0.2105565867990318	0.006309017945559901	-0.24056708609150812	0.021827030764270755	0.04560972279120573	0.04408519344705801	2441
ec	se_to_ec	cefotaxime	3	4.320437609907594	0.319697484208374	3.530899986382698	0.23306135708683018	0.1552156150904744	0.12721636585492105	0.5496543753243498	0.11964785178495901	0.6359641795506367	0.03943946410916928	0.1991499696417729	0.02276818457283941	5490
ec	se_to_ec	cefoxitin	3	1.5609984068967357	0.26587422905792846	1.1820208399185719	0.28981295528494183	-0.41647089934026726	0.495750997673313	0.503724630781967	0.0027620804606731902	0.2910396768733828	0.043943612625581455	0.5735546651402404	0.0635323357901349	1747
ec	se_to_ec	ceftazidime	3	2.454160822329214	0.15543475278882643	1.833171131118787	0.0921219863509311	0.3096598803132787	0.08878014693354201	0.6158505263452855	0.07935908032412688	0.6467870401071785	0.029125244529564377	0.38668003118387345	0.0021020810878914194	5986
ec	se_to_ec	ceftriaxone	3	3.511264674861838	1.0977759024644602	2.5736959678230815	1.0980684503371478	-0.06959590229660567	0.680400933956543	0.6964313746319775	0.11215206638765886	0.6720810580772177	0.04582841547297934	0.34679089026915105	0.14460860352399682	3220
ec	se_to_ec	cefuroxime	3	2.1281168057549293	0.21160667733689842	1.6347129316265676	0.1595197438272166	-0.653507900663516	0.3317612434489787	0.1353377547088849	0.029041345339884492	0.08592982852010918	0.05458138149386774	0.4664852832055404	0.0022669184738837176	4043
ec	se_to_ec	chloramphenicol	3	1.7131386464154226	0.4394426223995839	1.2254058478487686	0.42710220668081805	-2.0213252693365096	1.3978286610718533	0.20555961190341832	0.01864355479218735	0.17733651853158525	0.045312734196228076	0.5584476491968577	0.1610411029031274	2843
ec	se_to_ec	ciprofloxacin	3	3.2571063037721757	0.37817992226275277	2.408990893336886	0.3984364617476828	0.3157359326806127	0.15223362714894967	0.7706011186954443	0.02194948112626575	0.7644285928967717	0.010561379727886526	0.33338487706819236	0.10311907406885869	6467
ec	se_to_ec	imipenem	3	1.5706667590994405	0.2908901927627427	1.2020321868603157	0.3207850316029147	-0.29576190702613175	0.4929628112044871	0.20350128054365324	0.06431764816505266	0.21479860462752468	0.06497874633135041	0.5144979062969107	0.16562469472744798	4219
ec	se_to_ec	levofloxacin	3	3.1448248423190908	0.6584840355570429	2.695482525596269	0.7653649697569105	-0.8725105840669417	0.7193247400841628	0.8424844945158233	0.024737315164290428	0.7523056936455822	0.010023890289184455	0.22729486242999752	0.19648168426554521	2738
ec	se_to_ec	meropenem	3	3.0457599781144764	0.16882570980400763	2.751900844613859	0.1582471589616405	-1.0941587708069547	0.22950462103451866	0.055927697312490664	0.12923759341840074	0.01542549527701087	0.15153924242073263	0.07788104089219326	0.004602014276260211	5380
ec	se_to_ec	minocycline	3	3.710428022811479	0.10677064521153411	3.3642655017022087	0.09585653266993006	-7.0610748884748595	0.46688712302428986	0.45529773677540786	0.02143925365787359	0.4608480586919388	0.0184326807604629	0.0320194647201946	0.0006077856932748246	3425
ec	se_to_ec	tetracycline	3	2.0553508369172797	0.04393798813303709	1.683645017702254	0.05457509808772117	0.49942664647463236	0.021283799420507326	0.767342284921754	0.01576488528608492	0.6973359720444283	0.015368828488829598	0.22459893048128335	0.007259691066148819	2057
ec	se_to_ec	tigecycline	3	5.741403226602021	0.19240170287740374	5.480604199006545	0.1926396320639215	-61.08992028099405	4.197285093582912	0.1353479867156256	0.004590299971205004	0.16154781000370766	0.010706854479277429	0.0005356186395286	0.0	3734
ec	se_to_ec	tobramycin	3	2.7080803989946136	0.09348583647915283	2.26007997659779	0.07550862990285327	-2.202605482232086	0.22020937013607547	0.08015683880658231	0.03001217066138223	0.09155287130917227	0.00973295570190479	0.22877332450038637	0.026840978841673534	3019
kp	ec_to_kp	amikacin	3	1.9762153846883208	0.1462933110585949	1.513246390356791	0.14597121093454532	-0.24070594006812987	0.18344073964574176	0.37089613728253407	0.042218348430875116	0.24718910888667248	0.07291727329773921	0.44496855345911945	0.06554978038076788	3816
kp	ec_to_kp	aztreonam	3	1.842062117817288	0.07207602100265	1.4313241604866136	0.08630661169788685	-0.055136837385532635	0.08231211323552383	0.32087559054576636	0.07212261548705029	0.21922627969687228	0.10152941678047801	0.4561936594753368	0.06792885785803597	3291
