outer_target_code	source_regime_id	model_kind	support_budget_percent	fold_count	few_shot_gain_macro_mae_mean_across_folds	few_shot_gain_macro_mae_sd_across_folds	few_shot_gain_macro_rmse_mean_across_folds	few_shot_gain_macro_rmse_sd_across_folds	macro_mae_mean_across_folds	macro_mae_sd_across_folds	macro_one_tier_accuracy_mean_across_folds	macro_one_tier_accuracy_sd_across_folds	macro_pearson_mean_across_folds	macro_pearson_sd_across_folds	macro_r2_mean_across_folds	macro_r2_sd_across_folds	macro_rmse_mean_across_folds	macro_rmse_sd_across_folds	macro_spearman_mean_across_folds	macro_spearman_sd_across_folds	pooled_mae_mean_across_folds	pooled_mae_sd_across_folds	pooled_one_tier_accuracy_mean_across_folds	pooled_one_tier_accuracy_sd_across_folds	pooled_pearson_mean_across_folds	pooled_pearson_sd_across_folds	pooled_r2_mean_across_folds	pooled_r2_sd_across_folds	pooled_rmse_mean_across_folds	pooled_rmse_sd_across_folds	pooled_spearman_mean_across_folds	pooled_spearman_sd_across_folds	pretraining_gain_macro_mae_mean_across_folds	pretraining_gain_macro_mae_sd_across_folds	pretraining_gain_macro_rmse_mean_across_folds	pretraining_gain_macro_rmse_sd_across_folds	pretraining_gain_pooled_mae_mean_across_folds	pretraining_gain_pooled_mae_sd_across_folds	pretraining_gain_pooled_rmse_mean_across_folds	pretraining_gain_pooled_rmse_sd_across_folds	zero_shot_macro_mae_mean_across_folds	zero_shot_macro_mae_sd_across_folds	zero_shot_macro_one_tier_accuracy_mean_across_folds	zero_shot_macro_one_tier_accuracy_sd_across_folds	zero_shot_macro_pearson_mean_across_folds	zero_shot_macro_pearson_sd_across_folds	zero_shot_macro_r2_mean_across_folds	zero_shot_macro_r2_sd_across_folds	zero_shot_macro_rmse_mean_across_folds	zero_shot_macro_rmse_sd_across_folds	zero_shot_macro_spearman_mean_across_folds	zero_shot_macro_spearman_sd_across_folds	zero_shot_pooled_mae_mean_across_folds	zero_shot_pooled_mae_sd_across_folds	zero_shot_pooled_one_tier_accuracy_mean_across_folds	zero_shot_pooled_one_tier_accuracy_sd_across_folds	zero_shot_pooled_pearson_mean_across_folds	zero_shot_pooled_pearson_sd_across_folds	zero_shot_pooled_r2_mean_across_folds	zero_shot_pooled_r2_sd_across_folds	zero_shot_pooled_rmse_mean_across_folds	zero_shot_pooled_rmse_sd_across_folds	zero_shot_pooled_spearman_mean_across_folds	zero_shot_pooled_spearman_sd_across_folds
kp	ec_to_kp	source_pretrained_few_shot	5	5	0.3993902416225681	0.009582140276396797	0.4584591293562269	0.009910842086312079	1.3385775219005747	0.016407636380338972	0.5070631139104547	0.009292072083427324	0.47958929835335373	0.0056433797602827105	0.1780505771480922	0.00494638187604638	1.766920530562294	0.014201956919646572	0.430619539305665	0.0054194384103247294	1.344571141987191	0.017758646784644786	0.5109006025274556	0.009107356220518597	0.7341099942433018	0.0034337179115492902	0.5305822898728461	0.005994837281334014	1.8239075133387697	0.015110279289043346	0.7413933990397735	0.00402546261551353	-0.025330892650270265	0.12021096137253122	-0.022282275839415475	0.1094854903892487	-0.04006274491467802	0.12186945919611229	-0.04093077159267524	0.1221022667962691	1.7379677635231428	0.013497776475792108	0.3831938427321876	0.003476441272635223	0.36429078791043856	0.007825276300879086	-0.39166733936368886	0.02834108976997634	2.225379659918521	0.016279475315686357	0.3225437698287935	0.0066326893791500315	1.769235329517739	0.012061988440552762	0.38340831466113945	0.002753304880643714	0.6510364189554052	0.003966676686998815	0.23005524323761345	0.011104361442360104	2.3347960680934774	0.011027918101530214	0.6502055208868672	0.0038188342829373442
kp	ec_to_kp	source_pretrained_few_shot	10	5	0.4600387652597565	0.009796935589128114	0.5293255544044936	0.011725982255974416	1.277928998263386	0.015458507926734328	0.5282953592312364	0.010037643786990937	0.5190812883215525	0.005543125141885451	0.23888483463297158	0.007050289386243523	1.6960541055140275	0.013729289987527126	0.4661044373926028	0.004452429061031026	1.278988023123483	0.016216579321927282	0.5344607874902948	0.010114178511113433	0.7575261088539985	0.002407573567852954	0.5700933540035844	0.004382841428425479	1.7455780152531564	0.013979791453897553	0.7652708573079953	0.0035214292166862123	-0.1957566869802734	0.008358454050873848	-0.17817558086740218	0.016858612315143857	-0.201397673446003	0.009242135293056028	-0.1895758900464168	0.016798905275759297	1.7379677635231428	0.013497776475792108	0.3831938427321876	0.003476441272635223	0.36429078791043856	0.007825276300879086	-0.39166733936368886	0.02834108976997634	2.225379659918521	0.016279475315686357	0.3225437698287935	0.0066326893791500315	1.769235329517739	0.012061988440552762	0.38340831466113945	0.002753304880643714	0.6510364189554052	0.003966676686998815	0.23005524323761345	0.011104361442360104	2.3347960680934774	0.011027918101530214	0.6502055208868672	0.0038188342829373442
kp	se_plus_ec_to_kp	source_pretrained_few_shot	1	5	0.3135039939099871	0.006167228945964382	0.3779617008236652	0.005147241148785249	1.51394164168571	0.010728291748569872	0.4537771200578744	0.0058066131045571255	0.4301347486839447	0.01090491419714448	-0.03779640955055818	0.017399188393094664	1.9790238448867903	0.013207389363056108	0.36758028697593115	0.008525192832091629	1.5418298073942063	0.01288654931191032	0.45798961679511896	0.006284168690524466	0.6886650428578392	0.003225947193140782	0.38251647371925324	0.008633853208773868	2.091122306958322	0.016029013741551593	0.6862892380404171	0.00407135941607224	-0.038594711041717446	0.03209088939050739	-0.0749176912890527	0.030189662731827563	-0.07539924968904525	0.02902769176291817	-0.14969193889755303	0.025421461323710363	1.8274456355956972	0.006211448917705404	0.3813679146701046	0.0015921888035770114	0.38544420162717075	0.010290800269656656	-0.5393834756828925	0.03018256766847976	2.3569855457104554	0.00961173049553465	0.3265712005782718	0.009380243919777029	1.8888356425908797	0.006723005740784971	0.37722449595976554	0.0012322316180462514	0.6585880359996031	0.004081258792168143	0.09319686639188016	0.015558602587169684	2.533059384107644	0.004857890111165186	0.6550127263448848	0.00406262603175768
kp	se_plus_ec_to_kp	source_pretrained_few_shot	5	5	0.4848183609077309	0.01390800254031342	0.5945717975323266	0.009543242758860279	1.3426272746879664	0.014732023851234781	0.5023101306420055	0.009270687349667451	0.497414552380378	0.005125683049557352	0.18383246326698494	0.005422266355191441	1.762413748178129	0.010360484066464722	0.4345315110849629	0.0024665648736848346	1.3551567537453233	0.015419099459593313	0.5064531650437886	0.009397772736650196	0.7355623996103053	0.0017422769656141202	0.5252918169674304	0.004103479057494197	1.8341949546889371	0.01029631559160439	0.7392286451913115	0.002194561766506158	-0.029380645437661855	0.11789042413540936	-0.01777549345525068	0.10226569447537998	-0.05064835667281035	0.12009726978889028	-0.051218212942842775	0.11679061946848468	1.8274456355956972	0.006211448917705404	0.3813679146701046	0.0015921888035770114	0.38544420162717075	0.010290800269656656	-0.5393834756828925	0.03018256766847976	2.3569855457104554	0.00961173049553465	0.3265712005782718	0.009380243919777029	1.8888356425908797	0.006723005740784971	0.37722449595976554	0.0012322316180462514	0.6585880359996031	0.004081258792168143	0.09319686639188016	0.015558602587169684	2.533059384107644	0.004857890111165186	0.6550127263448848	0.00406262603175768
kp	se_plus_ec_to_kp	source_pretrained_few_shot	10	5	0.5627838858809124	0.012264683086593021	0.6796294430993925	0.011462220212197723	1.2646617497147847	0.013467064758168125	0.5322107190459122	0.008699313721560575	0.5371621295076594	0.0036217922085045188	0.25697965304376347	0.0035035665728275055	1.677356102611063	0.008901168434525892	0.4793290404003912	0.004365670926723181	1.270605300037786	0.014194692642316306	0.5373091043856009	0.0083203439231306	0.7623047166757069	0.002299394847949044	0.5747427586965408	0.005007882400932008	1.7361214288772273	0.00908475459829341	0.767835098227132	0.003995622039327996	-0.18248943843167192	0.009133591111963466	-0.15947757796443804	0.02023680214116859	-0.1930149503603061	0.009606983969570108	-0.18011930367048826	0.01884730557846209	1.8274456355956972	0.006211448917705404	0.3813679146701046	0.0015921888035770114	0.38544420162717075	0.010290800269656656	-0.5393834756828925	0.03018256766847976	2.3569855457104554	0.00961173049553465	0.3265712005782718	0.009380243919777029	1.8888356425908797	0.006723005740784971	0.37722449595976554	0.0012322316180462514	0.6585880359996031	0.004081258792168143	0.09319686639188016	0.015558602587169684	2.533059384107644	0.004857890111165186	0.6550127263448848	0.00406262603175768
kp	se_to_kp	source_pretrained_few_shot	1	5	0.721081582883083	0.013007267396130846	0.8177335950373532	0.010289952491068358	2.156072041817356	0.013588441078202899	0.3021717821765652	0.004784423270655049	0.33954841034400657	0.0037848957099219454	-1.2410406103110734	0.10518008515239687	2.644104467076605	0.009587132382556571	0.29513456050186565	0.002450177540522361	2.1802512044244966	0.015488823719154346	0.3141062624444425	0.005324242653730121	0.5019307904269124	0.012872609197713882	-0.1522066659953077	0.02998797260279492	2.85718661748087	0.015105828783787951	0.4625388698742812	0.011479014300164354	-0.6807251111733628	0.05405483264875862	-0.7399983134788674	0.04521083263216939	-0.7138206467193358	0.05272479819847139	-0.9157562494201011	0.04365836609679571	2.8771536247004383	0.017456254536395887	0.2250425383111938	0.0035727157814175524	0.27209355777727295	0.00560209121153792	-2.671089692728926	0.1624301528691991	3.4618380621139586	0.013103950599980187	0.24494565993612963	0.004666385408580323	2.9408509648232206	0.017486461230444124	0.23211161232971073	0.003484452612716565	0.43293315800693327	0.007500117429570524	-0.9467257210059241	0.04502243174211152	3.7098702126731373	0.01598661548190291	0.3877762471788044	0.006761563987608565
kp	se_to_kp	source_pretrained_few_shot	5	5	1.306294329897157	0.023632252635444214	1.449323482850052	0.015196741980608216	1.5708592948032813	0.009500262327262457	0.42221174026935265	0.010312322337856589	0.4412462211292363	0.0039656383235757466	-0.0715381876145387	0.028049610724016773	2.012514579263906	0.007940834924001983	0.3876149853023828	0.0029585198052189446	1.588987452595911	0.010006763469423315	0.42959248012570256	0.01030023835392879	0.6570166260693728	0.007599626646839475	0.3649362745762974	0.017567856674788038	2.121214468294889	0.01171902632836077	0.6633743318854589	0.007448033502775067	-0.25761266555297696	0.12189704064246777	-0.2678763245410277	0.10502562939218259	-0.2844790555233979	0.13128846943529898	-0.3382377265487944	0.12875393999849666	2.8771536247004383	0.017456254536395887	0.2250425383111938	0.0035727157814175524	0.27209355777727295	0.00560209121153792	-2.671089692728926	0.1624301528691991	3.4618380621139586	0.013103950599980187	0.24494565993612963	0.004666385408580323	2.9408509648232206	0.017486461230444124	0.23211161232971073	0.003484452612716565	0.43293315800693327	0.007500117429570524	-0.9467257210059241	0.04502243174211152	3.7098702126731373	0.01598661548190291	0.3877762471788044	0.006761563987608565
kp	se_to_kp	source_pretrained_few_shot	10	5	1.4567369881351984	0.025711739307283602	1.6197227310545184	0.013903240724315237	1.42041663656524	0.013387659750927787	0.4691549903411917	0.012187044140378573	0.47811073152903083	0.005609789632755725	0.11336298846425645	0.02108507164638815	1.8421153310594398	0.01140787139621881	0.4260379130937356	0.006535827558858118	1.4288764560592915	0.01033777813350485	0.47700265243447726	0.0116230270671647	0.7093114498722889	0.004390595549905936	0.4829025907503287	0.010390856941722058	1.9142995275992178	0.006023865519145466	0.716397630028355	0.005432645361377791	-0.3382443252821271	0.009196518960243675	-0.3242368064128149	0.02490401237190929	-0.35128610638181185	0.00602265603476668	-0.3582974023924783	0.022741991443851882	2.8771536247004383	0.017456254536395887	0.2250425383111938	0.0035727157814175524	0.27209355777727295	0.00560209121153792	-2.671089692728926	0.1624301528691991	3.4618380621139586	0.013103950599980187	0.24494565993612963	0.004666385408580323	2.9408509648232206	0.017486461230444124	0.23211161232971073	0.003484452612716565	0.43293315800693327	0.007500117429570524	-0.9467257210059241	0.04502243174211152	3.7098702126731373	0.01598661548190291	0.3877762471788044	0.006761563987608565
se	ec_to_se	source_pretrained_few_shot	1	5	0.5494497431812296	0.016012177374993188	0.5431759778905738	0.026296522618316248	1.0861518241021213	0.031966125674587786	0.6484858371941901	0.019782784947308674	0.6332190958766091	0.019040754881916266	-1.2900286005844699	1.3697284013993454	1.5148669174359817	0.03255574440400168	0.4217588588707958	0.012573881715008312	0.9905857583152606	0.030364410314385217	0.689194041401405	0.023511771143031795	0.9300768278185239	0.0024574660984258544	0.8597392489527529	0.006285051929050354	1.4644900730139672	0.03351441411215487	0.9084732163511386	0.004694952127820772	0.35492571599141853	0.0244434248546086	0.44592962552799376	0.03897596897857903	0.4084054342749003	0.04523045554584621	0.5286268012204719	0.05274639089298713	1.635601567283351	0.034043619038475414	0.32464032115498564	0.005263814417880267	0.5700256099603058	0.027691703444033287	-3.8320194797306257	3.066157645471775	2.0580428953265555	0.042124545712576796	0.39103457444400747	0.02202841791550692	1.5820263729075852	0.010048371533892507	0.3307512789641921	0.001202872558497963	0.8857558540023142	0.0016015363452237588	0.7153612065841162	0.005118046432392039	2.086730130551561	0.016569385487264107	0.8503790285294668	0.0020551222895736037
se	ec_to_se	source_pretrained_few_shot	5	5	0.8144947891110451	0.022578792219516048	0.8021828953793877	0.04514201575874192	0.8211067781723062	0.019243103537255956	0.7746280638933819	0.009698955033453098	0.7020063817168409	0.004433146554686647	-0.13723577620927566	0.5958064666408004	1.2558599999471678	0.01812589711973303	0.4602524625289363	0.013505989970786747	0.7618315170476634	0.015585565401273557	0.8050958057614469	0.005080030327166751	0.9486760954906769	0.0008766791125908909	0.8988593717440926	0.001460425622585542	1.24392622398799	0.011478696772586842	0.9375020978412028	0.0019279851282617	-0.04610220182673476	0.03290410731772648	0.06805498058198908	0.0325002064394206	-0.01688733947080777	0.036579078346948825	0.13509460080138772	0.03244124826356493	1.635601567283351	0.034043619038475414	0.32464032115498564	0.005263814417880267	0.5700256099603058	0.027691703444033287	-3.8320194797306257	3.066157645471775	2.0580428953265555	0.042124545712576796	0.39103457444400747	0.02202841791550692	1.5820263729075852	0.010048371533892507	0.3307512789641921	0.001202872558497963	0.8857558540023142	0.0016015363452237588	0.7153612065841162	0.005118046432392039	2.086730130551561	0.016569385487264107	0.8503790285294668	0.0020551222895736037
